,configuration_specification,evaluation,flow_id,strategy_name,task_id
0,8,0.9386615515771526,8660,greedy__8,41
0,8,0.8767537122375832,8660,greedy__8,11
0,8,0.9926973684210525,8660,greedy__8,49
0,8,0.8485000000000001,8660,greedy__8,14
0,8,0.946563171442755,8660,greedy__8,14964
0,8,0.911921681385637,8660,greedy__8,9952
0,8,0.9796386583679114,8660,greedy__8,3485
0,8,1.0,8660,greedy__8,3492
0,8,1.0,8660,greedy__8,9967
0,8,0.9786520101439548,8660,greedy__8,34536
0,8,0.9954195651443358,8660,greedy__8,9960
0,8,0.9826839826839826,8660,greedy__8,36
0,8,0.9816939890710381,8660,greedy__8,3493
0,8,0.764,8660,greedy__8,31
0,8,0.7051571235781762,8660,greedy__8,14969
0,8,0.985,8660,greedy__8,3512
0,8,0.9812727272727273,8660,greedy__8,125922
0,8,1.0,8660,greedy__8,3567
0,8,0.6711032950758978,8660,greedy__8,2079
0,8,0.9857412350495356,8660,greedy__8,9914
0,8,0.9891558441558441,8660,greedy__8,3494
0,8,0.8684615384615384,8660,greedy__8,9976
0,8,0.19954113924050634,8660,greedy__8,3560
0,8,0.7861441441441442,8660,greedy__8,10101
0,8,0.9940257509072661,8660,greedy__8,3889
0,8,0.8513999999999999,8660,greedy__8,58
0,8,0.5580897223754366,8660,greedy__8,23
0,8,0.9688669532044905,8660,greedy__8,9977
0,8,0.6694468832309044,8660,greedy__8,3561
0,8,0.9896579793131517,8660,greedy__8,3021
0,8,0.863768115942029,8660,greedy__8,29
0,8,0.9447465064890604,8660,greedy__8,9978
0,8,0.6287993538932212,8660,greedy__8,9985
0,8,0.8660769939236334,8660,greedy__8,146607
0,8,0.9209953343701403,8660,greedy__8,2074
0,8,0.9949010896011847,8660,greedy__8,10093
0,8,0.9777777777777779,8660,greedy__8,3022
0,8,0.9620689655172413,8660,greedy__8,45
0,8,0.7204266510812392,8660,greedy__8,9971
0,8,1.0,8660,greedy__8,34538
0,8,0.9947519769949678,8660,greedy__8,9986
0,8,0.9059521241528428,8660,greedy__8,14965
0,8,0.8976318797974849,8660,greedy__8,3903
0,8,0.9531674301770765,8660,greedy__8,3899
0,8,0.9296560196560197,8660,greedy__8,3918
0,8,0.9605,8660,greedy__8,16
0,8,0.8175458630421865,8660,greedy__8,3904
0,8,0.9810260097561763,8660,greedy__8,3510
0,8,0.992813466787989,8660,greedy__8,32
0,8,0.9342592592592593,8660,greedy__8,9981
0,8,0.734,8660,greedy__8,125921
0,8,0.9731714285714285,8660,greedy__8,3573
0,8,0.9737681752350404,8660,greedy__8,34537
0,8,0.8825972660357518,8660,greedy__8,3954
0,8,0.7705,8660,greedy__8,22
0,8,0.9916946778711484,8660,greedy__8,3549
0,8,0.9431909212283044,8660,greedy__8,9983
0,8,0.977,8660,greedy__8,20
0,8,0.849190467964221,8660,greedy__8,3896
0,8,0.9852313167259785,8660,greedy__8,28
0,8,0.864768014036182,8660,greedy__8,7592
0,8,0.8069836879432625,8660,greedy__8,14966
0,8,0.984,8660,greedy__8,3543
0,8,0.6031093347784854,8660,greedy__8,9970
0,8,0.7205099439061703,8660,greedy__8,146606
0,8,0.9715,8660,greedy__8,12
0,8,0.9135805384978744,8660,greedy__8,3902
0,8,0.9339469269558751,8660,greedy__8,219
0,8,0.8587000677048071,8660,greedy__8,3917
0,8,0.9728157349896481,8660,greedy__8,15
0,8,0.9683897243107771,8660,greedy__8,9946
0,8,0.9512618480451766,8660,greedy__8,3891
0,8,0.7074999999999999,8660,greedy__8,18
0,8,1.0,8660,greedy__8,9968
