,configuration_specification,evaluation,flow_id,strategy_name,task_id
0,8,0.7433333333333334,8654,greedy__1,10101
0,8,0.995067851903328,8654,greedy__1,3889
0,8,0.9501,8654,greedy__1,3948
0,8,0.8533999999999999,8654,greedy__1,58
0,8,0.5024177238462953,8654,greedy__1,23
0,8,0.9745248208465107,8654,greedy__1,9977
0,8,0.7113476733977173,8654,greedy__1,3561
0,8,0.9885976730804316,8654,greedy__1,3021
0,8,0.9545995852671076,8654,greedy__1,3481
0,8,0.8652173913043478,8654,greedy__1,29
0,8,0.9439575487846629,8654,greedy__1,9978
0,8,0.6023191382390382,8654,greedy__1,9985
0,8,0.8688213388536739,8654,greedy__1,146607
0,8,0.9223950233281494,8654,greedy__1,2074
0,8,0.9883423251877712,8654,greedy__1,10093
0,8,0.9747474747474747,8654,greedy__1,3022
0,8,0.961755485893417,8654,greedy__1,45
0,8,0.7086499123319696,8654,greedy__1,9971
0,8,1.0,8654,greedy__1,34538
0,8,0.9953271028037383,8654,greedy__1,9986
0,8,0.9043815870915823,8654,greedy__1,14965
0,8,0.902114976318798,8654,greedy__1,3903
0,8,0.958957239278783,8654,greedy__1,3899
0,8,0.9314660114660116,8654,greedy__1,3918
0,8,0.97,8654,greedy__1,16
0,8,0.810197732674337,8654,greedy__1,3904
0,8,0.9861451825355585,8654,greedy__1,3510
0,8,0.9945419803126809,8654,greedy__1,32
0,8,0.8703703703703705,8654,greedy__1,9981
0,8,0.8493124164325353,8654,greedy__1,146195
0,8,0.9952422466906319,8654,greedy__1,14970
0,8,0.6759999999999999,8654,greedy__1,125921
0,8,0.9713571428571427,8654,greedy__1,3573
0,8,0.9735867706381482,8654,greedy__1,34537
0,8,0.8779705573080967,8654,greedy__1,3954
0,8,0.785,8654,greedy__1,22
0,8,0.9798319327731093,8654,greedy__1,3549
0,8,0.958878504672897,8654,greedy__1,9983
0,8,0.9800000000000001,8654,greedy__1,20
0,8,0.82572987446735,8654,greedy__1,3896
0,8,0.9868327402135231,8654,greedy__1,28
0,8,0.8696612756796993,8654,greedy__1,7592
0,8,0.8035177304964538,8654,greedy__1,14966
0,8,0.9719999999999999,8654,greedy__1,3543
0,8,0.562674434358488,8654,greedy__1,9970
0,8,0.7113513513513514,8654,greedy__1,146606
0,8,0.9765,8654,greedy__1,12
0,8,0.9053613604156826,8654,greedy__1,3902
0,8,0.9127826342136925,8654,greedy__1,219
0,8,0.8530128639133379,8654,greedy__1,3917
0,8,0.9685300207039338,8654,greedy__1,15
0,8,0.9349624060150376,8654,greedy__1,9946
0,8,0.9518448801452581,8654,greedy__1,3891
0,8,0.701,8654,greedy__1,18
