,configuration_specification,evaluation,flow_id,strategy_name,task_id
0,8,0.837,8662,greedy__8,14
0,8,0.9024844252755528,8662,greedy__8,9952
0,8,0.9833834716459199,8662,greedy__8,3485
0,8,1.0,8662,greedy__8,3492
0,8,1.0,8662,greedy__8,9967
0,8,0.9197204019222367,8662,greedy__8,9960
0,8,0.9627705627705627,8662,greedy__8,36
0,8,1.0,8662,greedy__8,3493
0,8,0.7650000000000001,8662,greedy__8,31
0,8,0.9933333333333332,8662,greedy__8,3512
0,8,1.0,8662,greedy__8,3567
0,8,0.9876024502506716,8662,greedy__8,9914
0,8,0.9891558441558441,8662,greedy__8,3494
0,8,0.19950949367088605,8662,greedy__8,3560
0,8,0.9943732144235968,8662,greedy__8,3889
0,8,0.8657999999999999,8662,greedy__8,58
0,8,0.5227937120794264,8662,greedy__8,23
0,8,0.735052677787533,8662,greedy__8,3561
0,8,0.9735795398439814,8662,greedy__8,3481
0,8,0.8492753623188406,8662,greedy__8,29
0,8,0.8934681181959565,8662,greedy__8,2074
0,8,0.9939393939393938,8662,greedy__8,3022
0,8,0.9642633228840125,8662,greedy__8,45
0,8,0.8976318797974849,8662,greedy__8,3903
0,8,0.8979081470078254,8662,greedy__8,3899
0,8,0.9305733005733006,8662,greedy__8,3918
0,8,0.976,8662,greedy__8,16
0,8,0.9957835353449906,8662,greedy__8,3510
0,8,0.9960884274960708,8662,greedy__8,32
0,8,0.8765509989484753,8662,greedy__8,3954
0,8,0.8365,8662,greedy__8,22
0,8,0.9964425770308123,8662,greedy__8,3549
0,8,0.9730000000000001,8662,greedy__8,20
0,8,0.8406387961150141,8662,greedy__8,3896
0,8,0.9873665480427046,8662,greedy__8,28
0,8,0.8514188288036804,8662,greedy__8,7592
0,8,0.9880000000000001,8662,greedy__8,3543
0,8,0.9810000000000001,8662,greedy__8,12
0,8,0.9156495040151157,8662,greedy__8,3902
0,8,0.8553757616790791,8662,greedy__8,3917
0,8,0.9656521739130437,8662,greedy__8,15
0,8,0.9771929824561404,8662,greedy__8,9946
0,8,0.9247380520064634,8662,greedy__8,3891
0,8,0.7485,8662,greedy__8,18
0,8,1.0,8662,greedy__8,9968
0,8,0.840625,8665,random_search__64,9954
0,8,0.7681476418318524,8665,random_search__64,37
0,8,0.72625,8665,random_search__64,9955
0,8,0.871191037735849,8665,random_search__64,9956
0,8,0.999421965317919,8665,random_search__64,21
0,8,0.8238026124818578,8665,random_search__64,3913
0,8,1.0,8665,random_search__64,24
0,8,0.955440251572327,8665,random_search__64,9964
0,8,0.7933151845130065,8665,random_search__64,9950
0,8,0.9760500000000001,8665,random_search__64,6
0,8,0.9940566222570533,8665,random_search__64,3
0,8,1.0,8665,random_search__64,11
0,8,1.0,8665,random_search__64,49
0,8,0.843,8665,random_search__64,14
0,8,0.987124827109267,8665,random_search__64,3485
0,8,1.0,8665,random_search__64,3492
0,8,0.9994845360824742,8665,random_search__64,9967
0,8,0.9688311688311689,8665,random_search__64,36
0,8,1.0,8665,random_search__64,3493
0,8,0.744,8665,random_search__64,31
0,8,0.9916666666666666,8665,random_search__64,3512
0,8,1.0,8665,random_search__64,3567
0,8,0.9947899293490851,8665,random_search__64,3889
0,8,0.865,8665,random_search__64,58
0,8,0.7172080772607551,8665,random_search__64,3561
0,8,0.9743490997663014,8665,random_search__64,3481
0,8,0.8478260869565217,8665,random_search__64,29
0,8,0.9208398133748055,8665,random_search__64,2074
0,8,0.9939393939393938,8665,random_search__64,3022
0,8,0.9789999999999999,8665,random_search__64,16
0,8,0.9969883546220991,8665,random_search__64,3510
0,8,0.9962703283977168,8665,random_search__64,32
0,8,0.9964425770308123,8665,random_search__64,3549
0,8,0.9720000000000002,8665,random_search__64,20
0,8,0.990391459074733,8665,random_search__64,28
